detector,base_trial,incident_start,incident_end,cad_win,event_success,category
cusum_coh_resid_t2,62,2023-06-01,2023-11-01,1.0,1,changed_with_warning_overlap
cusum_coh_resid_t2,63,2021-11-01,2022-04-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,64,2024-04-01,2024-09-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,65,2020-08-01,2021-01-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,66,2022-11-01,2023-04-01,0.16666666666666666,1,changed_with_warning_overlap
cusum_coh_resid_t2,67,2023-07-01,2023-12-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,68,2024-02-01,2024-07-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,69,2022-07-01,2022-12-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,70,2021-11-01,2022-04-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,71,2021-07-01,2021-12-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,72,2022-01-01,2022-06-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,73,2022-05-01,2022-10-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,74,2023-07-01,2023-12-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,75,2024-05-01,2024-10-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,76,2020-05-01,2020-10-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,77,2024-08-01,2025-01-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,78,2022-08-01,2023-01-01,0.16666666666666666,1,changed_with_warning_overlap
cusum_coh_resid_t2,79,2021-10-01,2022-03-01,0.6666666666666666,1,changed_with_warning_overlap
