panel,detector,budget,duration_months,tiw_eval,p_overlap_warning_uniform,tiw_in_window_uniform,p_overlap_indep,p_overlap_minus_indep,cad_win_zero,dtiw_win_zero,dfae_win_zero
score_only,coh_resid_energy,0.25,6,0.1875,0.5084745762711864,0.17514124293785313,0.7122997641563416,-0.20382518788515513,0.0,0.0,0.0
score_only,ewma_coh_resid_t2,0.25,6,0.265625,0.5423728813559322,0.24293785310734464,0.8431417723040795,-0.3007688909481473,0.0,0.0,0.0
score_only,cusum_coh_resid_t2,0.25,6,0.671875,1.0,0.6694915254237288,0.9987519386777421,0.001248061322257854,0.0,0.0,0.0
score_only,max_abs,0.5,6,0.40625,0.864406779661017,0.40960451977401136,0.9561851089820266,-0.0917783293210096,0.0,0.0,0.0
score_only,T2,0.5,6,0.234375,0.6101694915254238,0.23728813559322035,0.7985827619995689,-0.18841327047414513,0.0,0.0,0.0
score_only,res_energy,0.5,6,0.25,0.5423728813559322,0.2542372881355932,0.822021484375,-0.2796486030190678,0.0,0.0,0.0
score_only,pc_t2,0.5,6,0.140625,0.5084745762711864,0.1440677966101695,0.5971936641581124,-0.08871908788692595,0.0,0.0,0.0
score_only,stale,0.5,6,0.046875,0.22033898305084745,0.050847457627118633,0.250279879765003,-0.029940896714155535,0.0,0.0,0.0
score_only,factor_cov_change,0.5,6,0.359375,0.7288135593220338,0.3728813559322034,0.9308768857590621,-0.2020633264370283,0.0,0.0,0.0
score_only,factor_cov_delta,0.5,6,0.234375,0.6271186440677966,0.23728813559322035,0.7985827619995689,-0.1714641179317723,0.0,0.0,0.0
score_only,factor_cov_lrt,0.5,6,0.125,0.2711864406779661,0.1271186440677966,0.5512046813964844,-0.2800182407185183,0.0,0.0,0.0
score_only,factor_cov_lrt_delta,0.5,6,0.109375,0.4067796610169492,0.10451977401129943,0.5009210069983965,-0.0941413459814473,0.0,0.0,0.0
score_only,fused_sp,0.5,6,0.171875,0.5084745762711864,0.1694915254237288,0.6774660957598826,-0.16899151948869617,0.0,0.0,0.0
score_only,fused_fisher,0.5,6,0.234375,0.576271186440678,0.23728813559322032,0.7985827619995689,-0.22231157555889092,0.0,0.0,0.0
score_only,fused_sp_lrt_delta,0.5,6,0.171875,0.5084745762711864,0.1694915254237288,0.6774660957598826,-0.16899151948869617,0.0,0.0,0.0
score_only,fused_fisher_lrt_delta,0.5,6,0.203125,0.5932203389830508,0.2033898305084746,0.7439403115859022,-0.15071997260285142,0.0,0.0,0.0
score_only,ewma_factor_cov_lrt,0.5,6,0.25,0.6271186440677966,0.2627118644067797,0.822021484375,-0.1949028403072034,0.0,0.0,0.0
score_only,cusum_factor_cov_lrt,0.5,6,0.46875,0.9322033898305084,0.4915254237288136,0.9775201370939612,-0.045316747263452806,0.0,0.0,0.0
score_only,coh_resid_t2,0.5,6,0.25,0.6779661016949152,0.22881355932203387,0.822021484375,-0.14405538268008478,0.0,0.0,0.0
score_only,coh_resid_energy,0.5,6,0.1875,0.5084745762711864,0.17514124293785313,0.7122997641563416,-0.20382518788515513,0.0,0.0,0.0
